Reference_PC,Age
AD_19_B25_C1_O_0061,3.0
AD_19_B25_C1_O_0062,3.0
AD_19_B25_C1_O_0063,3.0
AD_19_B25_C1_O_0064,3.0
AD_19_B25_C1_O_0065,3.0
AD_19_B25_C1_O_0066,3.0
AD_19_B25_C1_O_0067,3.0
AD_19_B25_C1_O_0068,3.0
AD_19_B25_C1_O_0069,5.0
AD_19_B25_C1_O_0071,4.0
AD_19_B25_C1_O_0073,3.0
AD_19_B25_C1_O_0074,5.0
AD_19_B25_C1_O_0075,5.0
AD_19_B25_C1_O_0076,3.0
AD_19_B25_C1_O_0077,5.0
AD_19_B25_C1_O_0078,5.0
AD_19_B25_C1_O_0079,4.0
AD_19_B25_C1_O_0080,4.0
AD_19_B25_C1_O_0081,6.0
AD_19_B25_C1_O_0082,5.0
AD_19_B25_C1_O_0083,4.0
AD_19_B25_C1_O_0084,4.0
AD_19_B25_C1_O_0085,4.0
AD_19_B25_C1_O_0086,6.0
AD_19_B25_C1_O_0087,5.0
AD_19_B25_C1_O_0088,5.0
AD_19_B25_C1_O_0089,5.0
AD_19_B25_C1_O_0090,5.0
AD_19_B25_C1_O_0091,5.0
AD_19_B25_C1_O_0092,2.0
AD_19_B25_C1_O_0093,2.0
AD_19_B25_C1_O_0094,3.0
AD_19_B25_C1_O_0095,3.0
AD_19_B25_C1_O_0096,3.0
AD_19_B25_C1_O_0097,2.0
AD_19_B25_C1_O_0098,2.0
AD_19_B25_C1_O_0099,3.0
AD_19_B25_C1_O_0100,3.0
AD_19_B25_C1_O_0102,3.0
AD_19_B25_C1_O_0103,3.0
AD_19_B25_C1_O_0104,2.0
AD_19_B25_C1_O_0105,4.0
AD_19_B25_C1_O_0106,3.0
AD_19_B25_C1_O_0107,3.0
AD_19_B25_C1_O_0108,4.0
AD_19_B25_C1_O_0109,3.0
AD_19_B25_C1_O_0110,3.0
AD_19_B25_C1_O_0111,3.0
AD_19_B25_C1_O_0112,3.0
AD_19_B25_C1_O_0113,3.0
AD_19_B25_C1_O_0114,3.0
AD_19_B25_C1_O_0115,6.0
AD_19_B25_C1_O_0117,5.0
AD_19_B25_C1_O_0119,3.0
AD_19_B25_C1_O_0121,4.0
AD_19_B25_C1_O_0122,3.0
AD_19_B25_C1_O_0123,3.0
AD_19_B25_C1_O_0124,2.0
AD_19_B25_C1_O_0125,2.0
AD_19_B25_C1_O_0126,6.0
AD_19_B25_C1_O_0127,2.0
AD_19_B25_C1_O_0128,2.0
AD_19_B25_C1_O_0130,3.0
AD_19_B25_C1_O_0132,4.0
AD_19_B25_C1_O_0133,4.0
AD_19_B25_C1_O_0134,3.0
AD_19_B25_C1_O_0135,3.0
AD_19_B25_C1_O_0136,3.0
AD_19_B25_C1_O_0137,3.0
AD_19_B25_C1_O_0138,4.0
AD_19_B25_C1_O_0139,5.0
AD_19_B25_C1_O_0140,5.0
AD_19_B25_C1_O_0141,3.0
AD_19_B25_C1_O_0143,3.0
AD_19_B25_C1_O_0144,3.0
AD_19_B25_C1_O_0145,3.0
AD_19_B25_C1_O_0146,3.0
AD_19_B25_C1_O_0147,3.0
AD_19_B25_C1_O_0148,2.0
AD_19_B25_C1_O_0149,4.0
AD_19_B25_C1_O_0150,3.0
AD_19_B25_C1_O_0151,2.0
AD_19_B25_C1_O_0152,3.0
AD_19_B25_C1_O_0156,3.0
AD_19_B25_C1_O_0157,2.0
AD_19_B25_C1_O_0159,5.0
AD_19_B25_C1_O_0160,3.0
AD_19_B25_C1_O_0162,3.0
AD_19_B25_C1_O_0163,3.0
AD_19_B25_C1_O_0164,3.0
AD_19_B25_C1_O_0165,3.0
AD_19_B25_C1_O_0166,4.0
AD_19_B25_C1_O_0167,3.0
AD_19_B25_C1_O_0169,2.0
AD_19_B25_C1_O_0170,3.0
AD_19_B25_C1_O_0171,4.0
CO_16_B17_C1_O_0025,2.0
CO_16_B17_C1_O_0068,4.0
CO_16_B17_C1_O_0084,5.0
CO_16_B17_C1_O_0087,2.0
CO_16_B17_C1_O_0093,3.0
CO_16_B17_C1_O_0129,3.0
CO_16_B17_C1_O_0137,7.0
CO_16_B17_C1_O_0140,3.0
CO_16_B17_C1_O_0145,2.0
CO_16_B17_C1_O_0148,3.0
CO_16_B17_C1_O_0244,4.0
CO_16_B17_C1_O_0283,1.0
CO_16_B17_C1_O_0299,3.0
CO_16_B17_C1_O_0300,3.0
CO_16_B17_C1_O_0355,2.0
CO_16_B17_C1_O_0364,1.0
CO_16_B17_C1_O_0372,1.0
CO_16_B17_C1_O_0388,1.0
CO_16_B17_C1_O_0401,2.0
CO_16_B17_C1_O_0402,2.0
CO_16_B17_C1_O_0410,3.0
CO_16_B75_C1_O_0118,4.0
CO_16_B75_C1_O_0124,5.0
CO_16_B76_C1_O_0023,2.0
CO_16_B76_C1_O_0026,3.0
CO_16_B76_C1_O_0031,3.0
CO_16_B76_C1_O_0044,2.0
CO_16_B76_C1_O_0064,4.0
CO_16_B76_C1_O_0065,2.0
CO_16_B76_C1_O_0069,3.0
CO_16_B76_C1_O_0072,2.0
CO_16_B76_C1_O_0127,2.0
CO_16_B76_C1_O_0171,3.0
CO_16_B76_C1_O_0187,3.0
CO_16_B76_C1_O_0200,3.0
CO_16_B76_C1_O_0202,3.0
CO_16_B76_C1_O_0207,8.0
CO_16_B76_C1_O_0229,4.0
CO_16_B76_C1_O_0237,5.0
CO_16_B76_C1_O_0238,6.0
GBD_18_B42_C1_O_0001,6.0
GBD_18_B42_C1_O_0002,5.0
GBD_18_B42_C1_O_0003,5.0
GBD_18_B42_C1_O_0004,7.0
GBD_18_B42_C1_O_0005,5.0
GBD_18_B42_C1_O_0006,5.0
GBD_18_B42_C1_O_0007,5.0
GBD_18_B42_C1_O_0009,5.0
GBD_18_B42_C1_O_0010,5.0
GBD_18_B42_C1_O_0011,5.0
GBD_18_B42_C1_O_0013,6.0
GBD_18_B42_C1_O_0014,6.0
GBD_18_B42_C1_O_0015,6.0
GBD_18_B42_C1_O_0016,5.0
GBD_18_B42_C1_O_0017,7.0
GBD_18_B42_C1_O_0018,6.0
GBD_18_B42_C1_O_0019,5.0
GBD_18_B42_C1_O_0020,4.0
GBD_18_B42_C1_O_0021,4.0
GBD_18_B42_C1_O_0022,8.0
GBD_18_B42_C1_O_0023,6.0
GBD_18_B42_C1_O_0024,5.0
GBD_18_B42_C1_O_0026,4.0
GBD_18_B42_C1_O_0027,3.0
GBD_18_B42_C1_O_0028,7.0
GBD_18_B42_C1_O_0029,5.0
GBD_18_B42_C1_O_0030,3.0
GBD_18_B42_C1_O_0031,5.0
GBD_18_B42_C1_O_0032,6.0
GBD_18_B42_C1_O_0033,5.0
GBD_18_B42_C1_O_0034,5.0
GBD_18_B42_C1_O_0035,3.0
GBD_18_B42_C1_O_0036,5.0
GBD_18_B42_C1_O_0038,7.0
GBD_18_B42_C1_O_0039,6.0
GBD_18_B42_C1_O_0040,6.0
GBD_18_B42_C1_O_0041,4.0
GBD_18_B42_C1_O_0042,6.0
GBD_18_B42_C1_O_0043,5.0
GBD_18_B42_C1_O_0044,5.0
GBD_18_B42_C1_O_0045,5.0
GBD_18_B42_C1_O_0046,3.0
GBD_18_B42_C1_O_0047,6.0
GBD_18_B42_C1_O_0048,8.0
GBD_18_B42_C1_O_0049,4.0
GBD_18_B42_C1_O_0050,4.0
GBD_18_B42_C1_O_0051,4.0
GBD_18_B42_C1_O_0052,5.0
GBD_18_B42_C1_O_0053,7.0
GBD_18_B42_C1_O_0054,8.0
GBD_18_B42_C1_O_0055,5.0
GBD_18_B42_C1_O_0056,5.0
GBD_18_B42_C1_O_0057,6.0
GBD_18_B42_C1_O_0058,5.0
GBD_18_B42_C1_O_0059,4.0
GBD_18_B42_C1_O_0060,3.0
GBD_18_B42_C1_O_0061,3.0
GBD_18_B42_C1_O_0062,6.0
GBD_18_B42_C1_O_0063,5.0
GBD_18_B42_C1_O_0064,4.0
GBD_18_B42_C1_O_0065,4.0
GBD_18_B42_C1_O_0066,6.0
GBD_18_B42_C1_O_0067,6.0
GBD_18_B42_C1_O_0068,6.0
GBD_18_B42_C1_O_0069,5.0
GBD_18_B42_C1_O_0070,4.0
GBD_18_B42_C1_O_0071,9.0
GBD_18_B42_C1_O_0072,4.0
GBD_18_B42_C1_O_0073,6.0
GBD_18_B42_C1_O_0074,6.0
GBD_18_B42_C1_O_0075,4.0
GBD_18_B42_C1_O_0076,8.0
GBD_18_B42_C1_O_0078,6.0
GBD_18_B42_C1_O_0079,9.0
GBD_18_B42_C1_O_0080,6.0
GBD_18_B42_C1_O_0081,6.0
GBD_18_B42_C1_O_0082,8.0
GBD_18_B42_C1_O_0083,6.0
GBD_18_B42_C1_O_0084,5.0
GBD_18_B42_C1_O_0085,8.0
GBD_18_B42_C1_O_0086,6.0
GBD_18_B42_C1_O_0087,4.0
GBD_18_B42_C1_O_0088,-1.0
GBD_18_B42_C1_O_0089,7.0
GBD_18_B42_C1_O_0090,6.0
GBD_18_B42_C1_O_0091,5.0
GBD_18_B42_C1_O_0092,9.0
GBD_18_B42_C1_O_0093,7.0
GBD_18_B42_C1_O_0094,6.0
GBD_18_B42_C1_O_0095,9.0
GBD_18_B42_C1_O_0096,7.0
GBD_18_B42_C1_O_0097,5.0
GBD_18_B42_C1_O_0098,8.0
GBD_18_B42_C1_O_0099,6.0
GBD_18_B42_C1_O_0100,-1.0
GBD_18_B42_C1_O_0101,10.0
GBD_18_B42_C1_O_0102,8.0
GBD_18_B42_C1_O_0103,7.0
GBD_18_B42_C1_O_0104,9.0
GBD_18_B42_C1_O_0105,8.0
GBD_18_B42_C1_O_0106,9.0
GBD_18_B42_C1_O_0107,8.0
GBD_18_B42_C1_O_0108,8.0
GBD_18_B42_C1_O_0109,8.0
GBD_18_B42_C1_O_0110,9.0
GBD_18_B42_C1_O_0111,7.0
GBD_18_B42_C1_O_0112,9.0
GBD_18_B48_C1_O_0001,1.0
GBD_18_B48_C1_O_0002,1.0
GBD_18_B48_C1_O_0003,1.0
GBD_18_B48_C1_O_0004,2.0
GBD_18_B48_C1_O_0005,0.0
GBD_18_B48_C1_O_0006,2.0
GBD_18_B48_C1_O_0008,0.0
GBD_18_B48_C1_O_0010,1.0
GBD_18_B48_C1_O_0011,0.0
GBD_18_B48_C1_O_0012,0.0
GBD_18_B48_C1_O_0013,0.0
GBD_18_B48_C1_O_0014,0.0
GBD_18_B48_C1_O_0016,0.0
GBD_18_B48_C1_O_0017,0.0
GBD_18_B48_C1_O_0019,0.0
GBD_18_B48_C1_O_0020,2.0
GBD_18_B48_C1_O_0022,-1.0
GBD_18_B48_C1_O_0023,0.0
GBD_18_B48_C1_O_0024,1.0
GBD_18_B48_C1_O_0026,2.0
GBD_18_B48_C1_O_0027,0.0
GBD_18_B48_C1_O_0028,0.0
GBD_18_B48_C1_O_0029,2.0
GBD_18_B48_C1_O_0030,0.0
GBD_18_B48_C1_O_0031,0.0
GBD_18_B48_C1_O_0032,0.0
GBD_18_B48_C1_O_0033,2.0
GBD_18_B48_C1_O_0034,1.0
GBD_18_B48_C1_O_0035,1.0
GBD_18_B48_C1_O_0036,0.0
GBD_18_B48_C1_O_0038,1.0
GBD_18_B48_C1_O_0039,1.0
GBD_18_B48_C1_O_0040,0.0
GBD_18_B48_C1_O_0043,0.0
GBD_18_B48_C1_O_0044,0.0
GBD_18_B48_C1_O_0045,0.0
GBD_18_B48_C1_O_0046,1.0
GBD_18_B48_C1_O_0047,0.0
GBD_18_B48_C1_O_0048,3.0
GBD_18_B48_C1_O_0050,1.0
GBD_18_B48_C1_O_0051,3.0
GBD_18_B48_C1_O_0052,2.0
GBD_18_B48_C1_O_0053,2.0
GBD_18_B48_C1_O_0054,2.0
GBD_18_B48_C1_O_0055,1.0
GBD_18_B48_C1_O_0056,2.0
GBD_18_B48_C1_O_0057,2.0
GBD_18_B48_C1_O_0058,2.0
GBD_18_B48_C1_O_0059,2.0
GBD_18_B48_C1_O_0060,4.0
GBD_18_B48_C1_O_0061,3.0
GBD_18_B48_C1_O_0062,1.0
GBD_18_B48_C1_O_0063,3.0
GBD_18_B48_C1_O_0064,2.0
GBD_18_B48_C1_O_0065,2.0
GBD_18_B48_C1_O_0066,2.0
GBD_18_B48_C1_O_0067,3.0
GBD_18_B48_C1_O_0068,3.0
GBD_18_B48_C1_O_0069,4.0
GBD_18_B48_C1_O_0070,0.0
GBD_18_B48_C1_O_0071,0.0
GBD_18_B48_C1_O_0072,2.0
GBD_18_B48_C1_O_0073,2.0
GBD_18_B48_C1_O_0074,3.0
GBD_18_B48_C1_O_0075,3.0
GBD_18_B48_C1_O_0076,5.0
GBD_18_B48_C1_O_0077,3.0
GBD_18_B48_C1_O_0078,1.0
GBD_18_B48_C1_O_0079,2.0
GBD_18_B48_C1_O_0080,1.0
GBD_18_B48_C1_O_0081,2.0
GBD_18_B48_C1_O_0082,1.0
GBD_18_B48_C1_O_0083,1.0
GBD_18_B48_C1_O_0084,4.0
GBD_18_B48_C1_O_0085,1.0
GBD_18_B48_C1_O_0086,1.0
GBD_18_B48_C1_O_0087,2.0
GBD_18_B48_C1_O_0088,3.0
GBD_18_B49_C1_O_0001,7.0
GBD_18_B49_C1_O_0002,5.0
GBD_18_B49_C1_O_0003,7.0
GBD_18_B49_C1_O_0004,7.0
GBD_18_B49_C1_O_0005,4.0
GBD_18_B49_C1_O_0006,4.0
GBD_18_B49_C1_O_0007,5.0
GBD_18_B49_C1_O_0008,4.0
GBD_18_B49_C1_O_0009,5.0
GBD_18_B49_C1_O_0010,5.0
GBD_18_B49_C1_O_0011,4.0
GBD_18_B49_C1_O_0012,4.0
GBD_18_B49_C1_O_0013,8.0
GBD_18_B49_C1_O_0014,4.0
GBD_18_B49_C1_O_0015,5.0
GBD_18_B49_C1_O_0016,4.0
GBD_18_B49_C1_O_0017,4.0
GBD_18_B49_C1_O_0018,5.0
GBD_18_B49_C1_O_0020,3.0
GBD_18_B49_C1_O_0021,3.0
GBD_18_B49_C1_O_0023,4.0
GBD_18_B49_C1_O_0024,4.0
GBD_18_B49_C1_O_0025,5.0
GBD_18_B49_C1_O_0026,4.0
GBD_18_B49_C1_O_0027,4.0
GBD_18_B49_C1_O_0028,3.0
GBD_18_B49_C1_O_0029,2.0
GBD_18_B49_C1_O_0030,4.0
GBD_18_B49_C1_O_0031,4.0
GBD_18_B49_C1_O_0032,5.0
GBD_18_B49_C1_O_0033,4.0
GBD_18_B49_C1_O_0034,4.0
GBD_18_B49_C1_O_0035,4.0
GBD_18_B49_C1_O_0036,4.0
GBD_18_B49_C1_O_0037,4.0
GBD_18_B49_C1_O_0038,5.0
GBD_18_B49_C1_O_0039,4.0
GBD_18_B49_C1_O_0040,5.0
GBD_18_B49_C1_O_0041,3.0
GBD_18_B49_C1_O_0042,4.0
GBD_18_B49_C1_O_0043,5.0
GBD_18_B49_C1_O_0044,4.0
GBD_18_B49_C1_O_0046,7.0
GBD_18_B49_C1_O_0047,7.0
GBD_18_B49_C1_O_0048,5.0
GBD_18_B49_C1_O_0049,5.0
GBD_18_B49_C1_O_0050,6.0
GBD_18_B49_C1_O_0051,6.0
GBD_18_B49_C1_O_0052,7.0
GBD_18_B49_C1_O_0053,7.0
GBD_18_B49_C1_O_0054,7.0
GBD_18_B49_C1_O_0055,7.0
GBD_18_B49_C1_O_0056,6.0
GBD_18_B49_C1_O_0057,6.0
GBD_18_B49_C1_O_0059,8.0
GBD_18_B49_C1_O_0060,4.0
GBD_18_B49_C1_O_0062,5.0
GBD_18_B49_C1_O_0063,6.0
GBD_18_B49_C1_O_0064,8.0
GBD_18_B49_C1_O_0065,5.0
GBD_18_B49_C1_O_0067,7.0
GBD_18_B49_C1_O_0069,6.0
GBD_18_B49_C1_O_0070,4.0
GBD_18_B49_C1_O_0071,7.0
GBD_18_B49_C1_O_0072,5.0
GBD_18_B49_C1_O_0073,4.0
GBD_18_B49_C1_O_0074,4.0
GBD_18_B49_C1_O_0075,5.0
GBD_18_B49_C1_O_0076,6.0
GBD_18_B49_C1_O_0077,5.0
GBD_18_B49_C1_O_0078,4.0
GBD_18_B49_C1_O_0079,6.0
GBD_18_B49_C1_O_0080,4.0
GBD_18_B49_C1_O_0081,4.0
GBD_18_B49_C1_O_0082,5.0
GBD_18_B49_C1_O_0083,7.0
GBD_18_B49_C1_O_0084,4.0
GBD_18_B49_C1_O_0085,4.0
GBD_18_B49_C1_O_0086,4.0
GBD_18_B49_C1_O_0087,4.0
GBD_18_B49_C1_O_0088,3.0
GBD_18_B49_C1_O_0089,6.0
GBD_18_B49_C1_O_0090,4.0
GBD_18_B49_C1_O_0091,4.0
GBD_18_B49_C1_O_0092,5.0
GBD_18_B49_C1_O_0093,4.0
GBD_18_B49_C1_O_0094,6.0
GBD_18_B50_C1_O_0001,5.0
GBD_18_B50_C1_O_0002,5.0
GBD_18_B50_C1_O_0004,4.0
GBD_18_B50_C1_O_0005,4.0
GBD_18_B50_C1_O_0006,6.0
GBD_18_B50_C1_O_0007,7.0
GBD_18_B50_C1_O_0008,7.0
GBD_18_B50_C1_O_0009,7.0
GBD_18_B50_C1_O_0010,6.0
GBD_18_B50_C1_O_0011,5.0
GBD_18_B50_C1_O_0012,7.0
GBD_18_B50_C1_O_0013,8.0
GBD_18_B50_C1_O_0014,8.0
GBD_18_B50_C1_O_0015,8.0
GBD_18_B50_C1_O_0016,9.0
GBD_18_B50_C1_O_0017,7.0
GBD_18_B50_C1_O_0018,7.0
GBD_18_B50_C1_O_0019,4.0
GBD_18_B50_C1_O_0020,5.0
GBD_18_B50_C1_O_0021,7.0
GBD_18_B50_C1_O_0022,6.0
GBD_18_B50_C1_O_0023,6.0
GBD_18_B50_C1_O_0024,7.0
GBD_18_B50_C1_O_0025,4.0
GBD_18_B50_C1_O_0026,4.0
GBD_18_B50_C1_O_0027,7.0
